device_id,latitude,longitude,timestamp
device_001,19.9975,73.7898,2026-09-24 09:00:00
device_001,19.9978,73.7902,2026-09-24 09:05:00
device_001,19.9981,73.7907,2026-09-24 09:10:00
device_001,19.9985,73.7911,2026-09-24 09:15:00
device_001,19.9988,73.7916,2026-09-24 09:20:00
device_001,19.9991,73.7920,2026-09-24 09:25:00
device_001,19.9994,73.7925,2026-09-24 09:30:00
device_001,19.9990,73.7929,2026-09-24 09:35:00
device_001,19.9986,73.7932,2026-09-24 09:40:00
device_001,19.9982,73.7936,2026-09-24 09:45:00

device_002,19.9959,73.7875,2026-09-24 09:00:00
device_002,19.9962,73.7879,2026-09-24 09:05:00
device_002,19.9966,73.7884,2026-09-24 09:10:00
device_002,19.9970,73.7888,2026-09-24 09:15:00
device_002,19.9974,73.7892,2026-09-24 09:20:00
device_002,19.9978,73.7897,2026-09-24 09:25:00
device_002,19.9982,73.7901,2026-09-24 09:30:00
device_002,19.9985,73.7906,2026-09-24 09:35:00
device_002,19.9989,73.7910,2026-09-24 09:40:00
device_002,19.9992,73.7915,2026-09-24 09:45:00

device_003,19.9992,73.7931,2026-09-24 09:00:00
device_003,19.9989,73.7927,2026-09-24 09:05:00
device_003,19.9985,73.7923,2026-09-24 09:10:00
device_003,19.9981,73.7919,2026-09-24 09:15:00
device_003,19.9977,73.7915,2026-09-24 09:20:00
device_003,19.9973,73.7911,2026-09-24 09:25:00
device_003,19.9969,73.7907,2026-09-24 09:30:00
device_003,19.9965,73.7903,2026-09-24 09:35:00
device_003,19.9961,73.7899,2026-09-24 09:40:00
device_003,19.9957,73.7895,2026-09-24 09:45:00

device_004,19.9968,73.7904,2026-09-24 09:00:00
device_004,19.9971,73.7908,2026-09-24 09:05:00
device_004,19.9975,73.7912,2026-09-24 09:10:00
device_004,19.9979,73.7916,2026-09-24 09:15:00
device_004,19.9983,73.7920,2026-09-24 09:20:00
device_004,19.9987,73.7924,2026-09-24 09:25:00
device_004,19.9991,73.7928,2026-09-24 09:30:00
device_004,19.9995,73.7932,2026-09-24 09:35:00
device_004,19.9992,73.7936,2026-09-24 09:40:00
device_004,19.9988,73.7940,2026-09-24 09:45:00

device_005,19.9948,73.7868,2026-09-24 09:00:00
device_005,19.9952,73.7872,2026-09-24 09:05:00
device_005,19.9956,73.7877,2026-09-24 09:10:00
device_005,19.9960,73.7881,2026-09-24 09:15:00
device_005,19.9964,73.7886,2026-09-24 09:20:00
device_005,19.9968,73.7890,2026-09-24 09:25:00
device_005,19.9972,73.7895,2026-09-24 09:30:00
device_005,19.9976,73.7899,2026-09-24 09:35:00
device_005,19.9980,73.7904,2026-09-24 09:40:00
device_005,19.9984,73.7908,2026-09-24 09:45:00

device_006,19.9988,73.7920,2026-09-24 10:00:00
device_006,19.9985,73.7916,2026-09-24 10:05:00
device_006,19.9982,73.7912,2026-09-24 10:10:00
device_006,19.9979,73.7908,2026-09-24 10:15:00
device_006,19.9976,73.7904,2026-09-24 10:20:00
device_006,19.9973,73.7900,2026-09-24 10:25:00
device_006,19.9970,73.7896,2026-09-24 10:30:00
device_006,19.9967,73.7892,2026-09-24 10:35:00
device_006,19.9964,73.7888,2026-09-24 10:40:00
device_006,19.9961,73.7884,2026-09-24 10:45:00

device_007,19.9955,73.7879,2026-09-24 10:00:00
device_007,19.9959,73.7883,2026-09-24 10:05:00
device_007,19.9963,73.7887,2026-09-24 10:10:00
device_007,19.9967,73.7891,2026-09-24 10:15:00
device_007,19.9971,73.7895,2026-09-24 10:20:00
device_007,19.9975,73.7899,2026-09-24 10:25:00
device_007,19.9979,73.7903,2026-09-24 10:30:00
device_007,19.9983,73.7907,2026-09-24 10:35:00
device_007,19.9987,73.7911,2026-09-24 10:40:00
device_007,19.9991,73.7915,2026-09-24 10:45:00

device_008,19.9963,73.7901,2026-09-24 10:00:00
device_008,19.9966,73.7905,2026-09-24 10:05:00
device_008,19.9970,73.7909,2026-09-24 10:10:00
device_008,19.9974,73.7913,2026-09-24 10:15:00
device_008,19.9978,73.7917,2026-09-24 10:20:00
device_008,19.9982,73.7921,2026-09-24 10:25:00
device_008,19.9986,73.7925,2026-09-24 10:30:00
device_008,19.9990,73.7929,2026-09-24 10:35:00
device_008,19.9994,73.7933,2026-09-24 10:40:00
device_008,19.9997,73.7937,2026-09-24 10:45:00

device_009,19.9970,73.7889,2026-09-24 10:00:00
device_009,19.9973,73.7893,2026-09-24 10:05:00
device_009,19.9976,73.7897,2026-09-24 10:10:00
device_009,19.9979,73.7901,2026-09-24 10:15:00
device_009,19.9982,73.7905,2026-09-24 10:20:00
device_009,19.9985,73.7909,2026-09-24 10:25:00
device_009,19.9988,73.7913,2026-09-24 10:30:00
device_009,19.9991,73.7917,2026-09-24 10:35:00
device_009,19.9994,73.7921,2026-09-24 10:40:00
device_009,19.9997,73.7925,2026-09-24 10:45:00

device_010,19.9958,73.7873,2026-09-24 10:00:00
device_010,19.9961,73.7877,2026-09-24 10:05:00
device_010,19.9965,73.7881,2026-09-24 10:10:00
device_010,19.9969,73.7885,2026-09-24 10:15:00
device_010,19.9973,73.7889,2026-09-24 10:20:00
device_010,19.9977,73.7893,2026-09-24 10:25:00
device_010,19.9981,73.7897,2026-09-24 10:30:00
device_010,19.9985,73.7901,2026-09-24 10:35:00
device_010,19.9989,73.7905,2026-09-24 10:40:00
device_010,19.9993,73.7909,2026-09-24 10:45:00
